date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:49	1468/1468	---M--	200	added ('OK')	image/png	etag:%225bc-59b14ec9f4614%22	http://htmlbeans.com/html/montero/images/arrowTop.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/arrowTop.png	(from http://htmlbeans.com/html/montero/home.html)
10:59:52	21141/21141	---M--	200	added ('OK')	image/png	etag:%225295-59b14ed15ce3f%22	http://htmlbeans.com/html/montero/images/img10.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img10.png	(from http://htmlbeans.com/html/montero/home.html)
10:59:53	23322/23322	---M--	200	added ('OK')	image/png	etag:%225b1a-59b14ed158fbf%22	http://htmlbeans.com/html/montero/images/img11.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img11.png	(from http://htmlbeans.com/html/montero/home.html)
10:59:53	21219/21219	---M--	200	added ('OK')	image/png	etag:%2252e3-59b14ed212889%22	http://htmlbeans.com/html/montero/images/img12.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img12.png	(from http://htmlbeans.com/html/montero/home.html)
10:59:54	1324/1324	---M--	200	added ('OK')	image/png	etag:%2252c-59b14ed34cfdb%22	http://htmlbeans.com/html/montero/images/img15.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img15.png	(from http://htmlbeans.com/html/montero/home.html)
10:59:56	17367/17367	---M--	200	added ('OK')	image/png	etag:%2243d7-59b14ed2d0f74%22	http://htmlbeans.com/html/montero/images/img14.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img14.png	(from http://htmlbeans.com/html/montero/home.html)
10:59:57	16791/16791	---M--	200	added ('OK')	image/png	etag:%224197-59b14ed4ab94f%22	http://htmlbeans.com/html/montero/images/img19.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img19.png	(from http://htmlbeans.com/html/montero/home.html)
10:59:59	15531/15531	---M--	200	added ('OK')	image/png	etag:%223cab-59b14ed38795e%22	http://htmlbeans.com/html/montero/images/img16.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img16.png	(from http://htmlbeans.com/html/montero/home.html)
11:00:00	9855/9855	---M--	200	added ('OK')	image/png	etag:%22267f-59b14ed3f7e45%22	http://htmlbeans.com/html/montero/images/img17.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img17.png	(from http://htmlbeans.com/html/montero/home.html)
11:00:01	9810/9810	---M--	200	added ('OK')	image/png	etag:%222652-59b14ed55f459%22	http://htmlbeans.com/html/montero/images/img21.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img21.png	(from http://htmlbeans.com/html/montero/home.html)
11:00:01	65698/65698	---M--	200	added ('OK')	image/jpeg	etag:%22100a2-59b14ed2965f1%22	http://htmlbeans.com/html/montero/images/img13.jpg	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img13.jpg	(from http://htmlbeans.com/html/montero/home.html)
